
      time  open  high   low  close  volume
2025-12-15 140.0 141.9 139.1  140.1  449800
2025-12-16 140.0 144.0 139.6  142.6  449300
2025-12-17 143.0 144.5 141.8  143.0  308500
2025-12-18 140.9 144.3 140.9  143.3  250100
2025-12-19 142.7 144.0 141.4  144.0  451800
2025-12-22 144.0 147.5 143.5  147.0  339800
2025-12-23 148.0 148.0 145.4  147.5  361400
2025-12-24 147.0 147.0 145.0  146.6  255100
2025-12-25 146.0 146.7 143.5  146.0  265600
2025-12-26 145.0 145.0 142.0  144.2  216500
2025-12-29 144.2 146.0 142.7  146.0  200200
2025-12-30 145.7 148.5 145.0  147.7  285100
2025-12-31 148.8 149.5 146.5  149.5  316800
2026-01-05 148.9 156.7 147.5  153.1  615800
2026-01-06 153.0 154.5 151.8  152.4  180000
2026-01-07 152.6 156.9 152.0  152.6  389500
2026-01-08 152.6 152.6 145.0  146.0  883800
2026-01-09 145.6 149.1 143.5  143.5  552500
2026-01-12 143.0 146.4 142.9  145.0  312400
2026-01-13 144.6 146.6 144.0  144.6  461800
2026-01-14 145.8 148.8 144.1  145.0  518200
2026-01-15 145.0 146.0 143.5  146.0  350700
2026-01-16 146.0 156.2 144.5  155.0 1373100
2026-01-19 155.9 155.9 150.6  153.4  295600
2026-01-20 153.0 160.0 152.3  152.8  698300
2026-01-21 151.5 152.8 148.0  152.8  496000
2026-01-22 152.8 153.4 149.6  153.3  442300
2026-01-23 152.9 155.2 151.1  151.8  389500
2026-01-26 151.1 151.7 145.1  145.1  485600
2026-01-27 145.2 155.1 145.2  154.7  791600
2026-01-28 155.6 162.1 155.0  160.3 1500000
2026-01-29 160.0 168.9 159.0  165.0 1082600
2026-01-30 168.9 171.0 165.0  169.9  998500
2026-02-02 171.3 181.0 166.1  175.5 1620300
2026-02-03 178.2 178.2 171.8  174.0 1074200
2026-02-04 172.0 178.2 172.0  174.9  868000
2026-02-05 175.1 175.1 169.5  170.0  867600
2026-02-06 168.1 168.8 160.4  160.4  998500
2026-02-09 163.5 165.7 161.0  164.0  219600
2026-02-10 164.0 165.0 159.6  165.0  440400
2026-02-11 165.0 167.0 162.6  167.0  349600
2026-02-12 167.9 170.3 165.9  167.0  375100
2026-02-13 167.0 170.0 164.9  170.0  575700
2026-02-23 170.0 172.3 168.0  171.9  582500
2026-02-24 171.0 171.9 168.1  171.0  540300
2026-02-25 171.0 171.0 168.7  171.0  360100
2026-02-26 170.9 171.9 168.7  170.9  392200
2026-02-27 170.9 170.9 165.2  169.0  972000
2026-03-02 165.5 169.0 165.0  169.0  535900
2026-03-03 167.4 169.0 162.0  165.0  651700
2026-03-04 162.7 163.8 155.0  163.8  899600
2026-03-05 163.8 164.0 157.9  159.0  500800
2026-03-06 157.3 157.3 150.5  150.6  804500
2026-03-09 141.0 142.0 140.1  140.1  729500
2026-03-10 143.0 148.0 142.5  145.2  675800
2026-03-11 145.0 155.3 145.0  155.3  510800
2026-03-12 153.8 153.8 147.8  153.6  657000
2026-03-13 150.0 150.0 148.6  149.1  307600
2026-03-16 147.5 150.7 147.5  150.5  193300
2026-03-17 151.0 154.9 150.5  152.2  386300
2026-03-18 154.2 154.2 149.7  149.7  186500
2026-03-19 149.0 149.6 147.5  149.0  244500
2026-03-20 149.0 150.0 148.0  148.6  157600
2026-03-23 145.0 150.0 144.0  150.0  439100
2026-03-24 150.0 158.0 150.0  158.0  377600
2026-03-25 158.0 158.6 155.3  158.6  377300
2026-03-26 158.4 158.4 154.2  158.0  353800
2026-03-27 154.9 162.5 154.9  162.5  704800
2026-03-30 159.1 159.1 156.2  158.0  630300
2026-03-31 157.6 157.6 153.9  157.0  477400
2026-04-01 158.0 158.0 154.5  157.0  163300
2026-04-02 154.2 155.7 153.8  154.0  185600
2026-04-03 154.0 155.0 148.7  152.0  454000
Bạn:
